Trial_ID,Larva_ID,Pressure_Level,Type_Stimulus,Prior,Duration_Stimulus,Post,Transducer_factor,State,Plasmid,Cell_labelled,Genotype,Frame_rate,Bin_size,Theta_range
130222_M1_L3_E001,130222_M1_L3,237.5,Pressure,30,60,30,0.625,positive,pLB316,Ser-h/trunk_ser,WT,200,200,17-60
130222_M1_L3_E002,130222_M1_L3,556,Pressure,30,60,30,2,positive,pLB316,Ser-h/trunk_ser,WT,200,200,17-60
130222_M1_L3_E003,130222_M1_L3,988,Pressure,30,60,30,2,positive,pLB316,Ser-h/trunk_ser,WT,200,200,17-60
130222_M1_L3_E004,130222_M1_L3,0,Pressure,30,60,30,0.125,positive,pLB316,Ser-h/trunk_ser,WT,200,200,17-60
130222_M1_L3_E005,130222_M1_L3,85,Pressure,30,60,30,0.25,positive,pLB316,Ser-h/trunk_ser,WT,200,200,17-60
130222_M1_L4_E001,130222_M1_L4,556,Pressure,30,60,30,2,weak,pLB316,Ser-h/ser-tr,WT,200,200,18-47
130222_M1_L4_E002,130222_M1_L4,0,Pressure,30,60,30,0.125,weak,pLB316,Ser-h/ser-tr,WT,200,200,18-47
130222_M1_L4_E003,130222_M1_L4,237.5,Pressure,30,60,30,0.625,weak,pLB316,Ser-h/ser-tr,WT,200,200,18-47
130222_M1_L4_E004,130222_M1_L4,85,Pressure,30,60,30,0.25,weak,pLB316,Ser-h/ser-tr,WT,200,200,18-47
130222_M1_L4_E005,130222_M1_L4,988,Pressure,30,60,30,2,weak,pLB316,Ser-h/ser-tr,WT,200,200,18-47
160222_M1_L1_E001,160222_M1_L1,237.5,Pressure,30,60,30,0.625,weak,pLB316,Ser-tr,WT,200,200,16.5-50
160222_M1_L1_E002,160222_M1_L1,0,Pressure,30,60,30,0.125,weak,pLB316,Ser-tr,WT,200,200,16.5-50
160222_M1_L1_E003,160222_M1_L1,556,Pressure,30,60,30,2,weak,pLB316,Ser-tr,WT,200,200,16.5-50
160222_M1_L1_E004,160222_M1_L1,85,Pressure,30,60,30,0.25,weak,pLB316,Ser-tr,WT,200,200,16.5-50
160222_M1_L1_E005,160222_M1_L1,988,Pressure,30,60,30,2,weak,pLB316,Ser-tr,WT,200,200,16.5-50
160222_M1_L2_E001,160222_M1_L2,988,Pressure,30,60,30,2,positive,pLB316,Ser-h/ser-tr,WT,200,200,20-60
160222_M1_L2_E002,160222_M1_L2,85,Pressure,30,60,30,0.25,positive,pLB316,Ser-h/ser-tr,WT,200,200,20-60
160222_M1_L2_E003,160222_M1_L2,556,Pressure,30,60,30,2,positive,pLB316,Ser-h/ser-tr,WT,200,200,20-60
160222_M1_L2_E004,160222_M1_L2,0,Pressure,30,60,30,0.125,positive,pLB316,Ser-h/ser-tr,WT,200,200,20-60
160222_M1_L2_E005,160222_M1_L2,237.5,Pressure,30,60,30,0.625,positive,pLB316,Ser-h/ser-tr,WT,200,200,20-60
160222_M1_L3_E001,160222_M1_L3,988,Pressure,30,60,30,2,positive,pLB316,Ser-h/ser-tr,WT,200,200,30-60
160222_M1_L3_E002,160222_M1_L3,556,Pressure,30,60,30,2,positive,pLB316,Ser-h/ser-tr,WT,200,200,30-60
160222_M1_L3_E003,160222_M1_L3,0,Pressure,30,60,30,0.125,positive,pLB316,Ser-h/ser-tr,WT,200,200,30-60
160222_M1_L3_E004,160222_M1_L3,85,Pressure,30,60,30,0.25,positive,pLB316,Ser-h/ser-tr,WT,200,200,30-60
160222_M1_L3_E005,160222_M1_L3,237.5,Pressure,30,60,30,0.625,positive,pLB316,Ser-h/ser-tr,WT,200,200,30-60
270222_M1_L1_E001,270222_M1_L1,85,Pressure,30,60,30,0.25,negative,pLB316,Ser-tr-r,WT,200,200,25-60
270222_M1_L1_E002,270222_M1_L1,0,Pressure,30,60,30,0.125,negative,pLB316,Ser-tr-r,WT,200,200,25-60
270222_M1_L1_E003,270222_M1_L1,988,Pressure,30,60,30,2,negative,pLB316,Ser-tr-r,WT,200,200,25-60
270222_M1_L1_E004,270222_M1_L1,556,Pressure,30,60,30,2,negative,pLB316,Ser-tr-r,WT,200,200,25-60
270222_M1_L1_E005,270222_M1_L1,237.5,Pressure,30,60,30,0.625,negative,pLB316,Ser-tr-r,WT,200,200,25-60
270222_M1_L3_E001,270222_M1_L3,85,Pressure,30,60,30,0.25,positive,pLB316,Ser-h/ser-tr,WT,200,200,24-60
270222_M1_L3_E002,270222_M1_L3,237.5,Pressure,30,60,30,0.625,positive,pLB316,Ser-h/ser-tr,WT,200,200,24-60
